component,source_file,msg_id,component_msg_name,component_cycle_ms,component_signal_count,status,total_network,total_msg_name,total_cycle_ms,total_signal_count,signal_exact_match_count,component_only_signals,total_only_signals,note
PDU/继电器,PDU电机控制器扩展帧CAN通讯协议V1.0（PDU）——继电器相关.xlsx,0CF2503B,VCU_PDU,100,6,一致,动力CAN,VCU_PDU,100,6,6,,,
PDU/继电器,PDU电机控制器扩展帧CAN通讯协议V1.0（PDU）——继电器相关.xlsx,18FF2BC8,PDU_RelaySts,300,7,一致,动力CAN,PDU_RelaySts,300,7,7,,,
三通比例阀,Φ25 V560424A15三通比例阀can协议.xlsx,18FF243B,TWV1_P,100,9,一致,动力CAN,TWV,100,9,9,,,
三通比例阀,Φ25 V560424A15三通比例阀can协议.xlsx,18FF25EF,VCU,100,2,一致,动力CAN,VCU_TWV,100,2,2,,,
三通电磁阀,三通电磁阀2733523 - 矩阵 - A0 - 2023.10.26.xls,0CFD6720,TWV,Cycle,0,总表缺失,,,,,,,,该元件协议中的报文ID未在整车CAN20260630总表中找到。
三通电磁阀,三通电磁阀2733523 - 矩阵 - A0 - 2023.10.26.xls,18FD20B0,,Cycle,0,总表缺失,,,,,,,,该元件协议中的报文ID未在整车CAN20260630总表中找到。
制动电阻器,制动电阻器CAN通信协议.docx,0CF109A7,ID=0x0CF109A7,100,8,信号数量不一致,整车CAN,VCU2BRS,100,4,0,,,元件协议为字节/中文描述式定义，已按报文ID、周期和信号数量做粗比对。
制动电阻器,制动电阻器CAN通信协议.docx,18F13DF3,ID=0x18F13DF3,500,8,总表缺失,,,,,,,,该元件协议中的报文ID未在整车CAN20260630总表中找到。
制动电阻器,制动电阻器CAN通信协议.docx,18FE25E4,ID=0x18FE25E4,500,9,信号数量不一致,整车CAN,BRS2VCU1,500,5,0,,,元件协议为字节/中文描述式定义，已按报文ID、周期和信号数量做粗比对。
制动电阻器,制动电阻器CAN通信协议.docx,18FE26E4,ID=0x18FE26E4,500,8,信号数量不一致,整车CAN,BRS2VCU2,500,4,0,,,元件协议为字节/中文描述式定义，已按报文ID、周期和信号数量做粗比对。
制动电阻器,制动电阻器CAN通信协议.docx,18FE27E4,ID=0x18FE27E4,500,8,信号数量不一致,整车CAN,BRS2VCU3,500,3,0,,,元件协议为字节/中文描述式定义，已按报文ID、周期和信号数量做粗比对。
制动电阻器,制动电阻器CAN通信协议.docx,18FFA7A9,ID=0x18FFA7A9,50,4,总表缺失,,,,,,,,该元件协议中的报文ID未在整车CAN20260630总表中找到。
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,0C31EFD0,VCU2MCU1,10,10,一致,动力CAN,VCU2MCU1,10,10,10,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,0C31F1D0,VCU2MCU2,10,10,一致,动力CAN,VCU2MCU2,10,10,10,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,18008FD0,VCU_DCDC1,100,1,一致,动力CAN,VCU_DCDC1,100,1,1,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,1800A105,Ctrl_HVC,100,5,一致,动力CAN,Ctrl_HVC,100,5,5,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,1800D08F,DCDC1_1,100,4,一致,动力CAN,DCDC1_1,100,4,4,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,180105A1,HVC1_LV,100,5,一致,动力CAN,HVC1_LV,100,5,5,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,1801D08F,DCDC1_2,100,5,一致,动力CAN,DCDC1_2,100,5,5,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,180305A1,HVC3_Temp,100,4,一致,动力CAN,HVC3_Temp,100,4,4,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,180405A1,HVC4_RlySt,100,13,一致,动力CAN,HVC4_RlySt,100,13,13,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,180705A1,HVC7_HV1,100,6,一致,动力CAN,HVC7_HV1,100,6,6,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,1836D0EF,MCU1Msg1,10,4,一致,动力CAN,MCU1Msg1,10,4,4,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,1836D0F1,MCU2Msg1,10,4,一致,动力CAN,MCU2Msg1,10,4,4,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,1837D0EF,MCU1Msg2,100,9,一致,动力CAN,MCU1Msg2,100,9,9,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,1837D0F1,MCU2Msg2,100,9,一致,动力CAN,MCU2Msg2,100,9,9,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,1838D0EF,MCU1Msg3,1000,6,一致,动力CAN,MCU1Msg3,1000,6,6,,,
开关磁阻四合一,开关磁阻电机MP2505_深蓝动力矿卡四合一通讯协议.xls,1838D0F1,MCU2Msg3,1000,6,一致,动力CAN,MCU2Msg3,1000,6,6,,,
永磁同步主驱,扩展帧通讯协议V1.0（主驱）——只有一个电机驱动.docx,CFF0005,TM MCU STATUS 1,10,7,一致,动力CAN,TM MCU STATUS 1,10,7,7,,,
永磁同步主驱,扩展帧通讯协议V1.0（主驱）——只有一个电机驱动.docx,CFF0006,ISG MCU STATUS 1,10,7,一致,动力CAN,ISG MCU STATUS 1,10,7,7,,,
永磁同步主驱,扩展帧通讯协议V1.0（主驱）——只有一个电机驱动.docx,CFF0105,TM MCU STATUS 2,50,6,一致,动力CAN,TM MCU STATUS2,50,6,6,,,
永磁同步主驱,扩展帧通讯协议V1.0（主驱）——只有一个电机驱动.docx,CFF0106,ISG MCU STATUS 2,50,6,一致,动力CAN,ISG MCU STATUS2,50,6,6,,,
永磁同步主驱,扩展帧通讯协议V1.0（主驱）——只有一个电机驱动.docx,CFF0205,TM MCU STATUS 3,100,6,信号不一致,动力CAN,TM MCU STATUS3,100,5,5,Reserved,,
